rentree_scolaire;departement;numero_lycee;secteur;terminales_g;terminales_g_filles;terminales_g_garcons;terminales_sti2d;terminales_sti2d_filles;terminales_sti2d_garcons;terminales_stl;terminales_stl_filles;terminales_stl_garcons;terminales_stmg;terminales_stmg_filles;terminales_stmg_garcons;terminales_st2s;terminales_st2s_filles;terminales_st2s_garcons;terminales_std2a;terminales_std2a_filles;terminales_std2a_garcons;terminales_sthr;terminales_tmd
2020;ALLIER;0031044U;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;34;32;2;0;0;0;0;0
2020;ALLIER;0030051P;PUBLIC;321;187;134;45;1;44;0;0;0;95;44;51;0;0;0;0;0;0;0;0
2020;ALLIER;0030072M;PRIVE;90;46;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ALLIER;0031082K;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;61;56;5;0;0;0;16;0
2020;ALLIER;0030073N;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;9;8;1;0;0;0;0;0
2020;ALLIER;0030025L;PUBLIC;321;217;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ALLIER;0030026M;PUBLIC;133;55;78;56;9;47;25;14;11;74;44;30;0;0;0;0;0;0;0;0
2020;ALLIER;0030445T;PRIVE;19;9;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ALLIER;0030036Y;PUBLIC;328;208;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ALLIER;0030084A;PRIVE;26;15;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ALLIER;0031041R;PRIVE;0;0;0;0;0;0;0;0;0;13;8;5;26;23;3;0;0;0;0;0
2020;ALLIER;0030044G;PUBLIC;112;64;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ALLIER;0030038A;PUBLIC;38;12;26;47;3;44;0;0;0;53;23;30;0;0;0;30;21;9;0;0
2020;CANTAL;0150006A;PUBLIC;91;36;55;30;2;28;0;0;0;50;21;29;58;50;8;0;0;0;0;0
2020;CANTAL;0150047V;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;18;10;0;0
2020;CANTAL;0150646W;PUBLIC;226;142;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;CANTAL;0150760V;PRIVE;28;16;12;0;0;0;0;0;0;17;1;16;8;7;1;0;0;0;0;0
2020;CANTAL;0150747F;PUBLIC;80;47;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;CANTAL;0150030B;PUBLIC;113;76;37;0;0;0;0;0;0;27;14;13;0;0;0;0;0;0;0;0
2020;CANTAL;0150051Z;PRIVE;23;10;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430003V;PUBLIC;157;83;74;0;0;0;0;0;0;21;11;10;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430053Z;PRIVE;59;37;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430055B;PRIVE;118;65;53;19;0;19;0;0;0;12;2;10;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430020N;PUBLIC;106;56;50;39;7;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430021P;PUBLIC;222;140;82;0;0;0;23;15;8;53;32;21;36;32;4;0;0;0;0;0
2020;HAUTE-LOIRE;0430098Y;PRIVE;0;0;0;0;0;0;0;0;0;18;9;9;21;19;2;0;0;0;0;0
2020;HAUTE-LOIRE;0430968U;PRIVE;91;53;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430058E;PRIVE;188;104;84;30;1;29;0;0;0;0;0;0;38;35;3;0;0;0;0;0
2020;HAUTE-LOIRE;0430947W;PUBLIC;214;142;72;0;0;0;0;0;0;58;29;29;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430065M;PRIVE;64;43;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE-LOIRE;0430953C;PUBLIC;71;52;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630001J;PUBLIC;80;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631070W;PRIVE;87;59;28;0;0;0;0;0;0;0;0;0;27;24;3;0;0;0;0;0
2020;PUY-DE-DOME;0631669X;PUBLIC;164;92;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0
2020;PUY-DE-DOME;0630018C;PUBLIC;306;154;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630019D;PUBLIC;444;290;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630020E;PUBLIC;0;0;0;0;0;0;32;16;16;105;65;40;133;123;10;0;0;0;0;0
2020;PUY-DE-DOME;0630021F;PUBLIC;101;19;82;105;9;96;23;9;14;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630077S;PUBLIC;228;133;95;0;0;0;0;0;0;89;48;41;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631068U;PRIVE;133;68;65;32;2;30;0;0;0;31;12;19;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631074A;PRIVE;134;63;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631075B;PRIVE;161;88;73;0;0;0;0;0;0;35;17;18;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631847R;PRIVE;115;63;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631861F;PUBLIC;359;217;142;0;0;0;0;0;0;32;12;20;0;0;0;31;25;6;0;0
2020;PUY-DE-DOME;0631032E;PRIVE;41;23;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630034V;PUBLIC;248;138;110;0;0;0;0;0;0;56;27;29;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631033F;PRIVE;84;49;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630052P;PUBLIC;291;187;104;0;0;0;0;0;0;68;43;25;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630054S;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631034G;PRIVE;89;63;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0631985R;PUBLIC;56;5;51;56;2;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630068G;PUBLIC;176;114;62;0;0;0;0;0;0;46;25;21;0;0;0;0;0;0;0;0
2020;PUY-DE-DOME;0630069H;PUBLIC;25;2;23;42;7;35;25;13;12;0;0;0;0;0;0;0;0;0;0;0
2020;ARDECHE;0070001N;PUBLIC;229;142;87;36;2;34;0;0;0;64;37;27;0;0;0;0;0;0;0;0
2020;ARDECHE;0071126L;PRIVE;267;153;114;34;2;32;12;8;4;39;24;15;52;44;8;0;0;0;0;0
2020;ARDECHE;0070003R;PUBLIC;182;109;73;0;0;0;0;0;0;55;31;24;0;0;0;0;0;0;0;0
2020;ARDECHE;0070004S;PUBLIC;37;7;30;41;2;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ARDECHE;0070064G;PRIVE;144;88;56;0;0;0;0;0;0;30;22;8;47;35;12;0;0;0;0;0
2020;ARDECHE;0070066J;PRIVE;119;68;51;18;2;16;0;0;0;23;16;7;0;0;0;0;0;0;0;0
2020;ARDECHE;0071397F;PUBLIC;98;65;33;17;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ARDECHE;0071351F;PUBLIC;101;53;48;0;0;0;0;0;0;24;12;12;0;0;0;0;0;0;0;0
2020;ARDECHE;0070021K;PUBLIC;181;103;78;0;0;0;0;0;0;55;28;27;0;0;0;0;0;0;0;0
2020;ARDECHE;0070069M;PRIVE;39;24;15;0;0;0;0;0;0;0;0;0;21;20;1;0;0;0;0;0
2020;ARDECHE;0070029U;PUBLIC;158;85;73;0;0;0;0;0;0;58;27;31;44;37;7;0;0;0;0;0
2020;ARDECHE;0070071P;PRIVE;129;70;59;0;0;0;0;0;0;32;10;22;0;0;0;0;0;0;0;0
2020;DROME;0261277X;PUBLIC;135;82;53;0;0;0;0;0;0;72;44;28;40;36;4;0;0;0;0;0
2020;DROME;0260063C;PRIVE;129;63;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260006R;PUBLIC;113;73;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260072M;PRIVE;19;6;13;27;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260008T;PUBLIC;74;32;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260015A;PUBLIC;322;188;134;0;0;0;0;0;0;107;56;51;0;0;0;0;0;0;0;0
2020;DROME;0260064D;PRIVE;57;24;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260113G;PUBLIC;42;4;38;96;13;83;30;17;13;0;0;0;54;51;3;0;0;0;0;0
2020;DROME;0260017C;PUBLIC;141;80;61;0;0;0;0;0;0;48;31;17;0;0;0;0;0;0;0;0
2020;DROME;0260019E;PUBLIC;179;98;81;0;0;0;0;0;0;51;35;16;0;0;0;0;0;0;0;0
2020;DROME;0260022H;PUBLIC;324;202;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260023J;PUBLIC;70;23;47;50;4;46;0;0;0;96;56;40;0;0;0;0;0;0;0;0
2020;DROME;0260066F;PRIVE;112;63;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0261397C;PUBLIC;106;53;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260034W;PUBLIC;234;139;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260035X;PUBLIC;269;170;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260069J;PRIVE;226;124;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260071L;PRIVE;103;52;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;DROME;0260074P;PRIVE;0;0;0;0;0;0;0;0;0;48;26;22;56;44;12;44;34;10;0;0
2020;DROME;0261505V;PUBLIC;257;132;125;111;3;108;31;24;7;139;65;74;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741443S;PRIVE;30;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740003B;PUBLIC;442;241;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740005D;PUBLIC;344;250;94;0;0;0;0;0;0;104;45;59;77;71;6;0;0;0;0;0
2020;HAUTE SAVOIE;0740054G;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740082M;PRIVE;233;129;104;27;5;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741101V;PRIVE;11;8;3;0;0;0;0;0;0;32;17;15;19;19;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741418P;PUBLIC;347;232;115;0;0;0;0;0;0;96;43;53;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740009H;PUBLIC;187;112;75;0;0;0;0;0;0;133;85;48;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741476C;PUBLIC;225;98;127;104;11;93;15;10;5;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740006E;PUBLIC;285;142;143;157;14;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740013M;PUBLIC;181;118;63;0;0;0;0;0;0;51;32;19;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741669M;PUBLIC;86;42;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740017S;PUBLIC;282;159;123;64;0;64;0;0;0;95;44;51;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740143D;PRIVE;58;45;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740051D;PUBLIC;206;105;101;0;0;0;0;0;0;30;16;14;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740092Y;PRIVE;159;91;68;0;0;0;0;0;0;26;13;13;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740027C;PUBLIC;247;153;94;36;2;34;0;0;0;49;25;24;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741469V;PRIVE;68;47;21;0;0;0;0;0;0;0;0;0;17;16;1;0;0;0;0;0
2020;HAUTE SAVOIE;0741532N;PUBLIC;245;147;98;42;1;41;0;0;0;62;32;30;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740037N;PUBLIC;240;126;114;0;0;0;0;0;0;53;21;32;34;28;6;0;0;0;0;0
2020;HAUTE SAVOIE;0740097D;PRIVE;83;56;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740098E;PRIVE;52;33;19;0;0;0;0;0;0;21;8;13;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740099F;PRIVE;90;51;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740046Y;PUBLIC;377;239;138;0;0;0;0;0;0;106;52;54;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740047Z;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0
2020;HAUTE SAVOIE;0740100G;PRIVE;184;91;93;0;0;0;16;13;3;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741307U;PRIVE;0;0;0;0;0;0;0;0;0;22;9;13;34;28;6;0;0;0;0;0
2020;HAUTE SAVOIE;0740104L;PRIVE;148;86;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380008C;PUBLIC;359;191;168;87;8;79;0;0;0;158;86;72;0;0;0;0;0;0;0;0
2020;ISERE;0382920T;PUBLIC;266;141;125;0;0;0;0;0;0;106;53;53;0;0;0;0;0;0;0;0
2020;ISERE;0380018N;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;20;19;1;0;0;0;0;0
2020;ISERE;0380027Y;PUBLIC;276;144;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380028Z;PUBLIC;156;101;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380029A;PUBLIC;245;134;111;0;0;0;0;0;0;68;28;40;0;0;0;0;0;0;0;0
2020;ISERE;0380032D;PUBLIC;122;76;46;0;0;0;0;0;0;98;42;56;0;0;0;0;0;0;0;0
2020;ISERE;0380033E;PUBLIC;62;12;50;85;4;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380034F;PUBLIC;25;14;11;0;0;0;50;33;17;62;33;29;92;79;13;0;0;0;0;0
2020;ISERE;0380035G;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0
